北京移动,#genre#
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6431
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6346
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6895
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6933
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6338
CCTV1,http://iptv.666230.xyz/iptv/bjyd.php/6432
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6230
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6371
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6472
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6893
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6950
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6990
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6911
CCTV2,http://iptv.666230.xyz/iptv/bjyd.php/6457
CCTV3,http://iptv.666230.xyz/iptv/bjyd.php/6471
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/6335
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/6470
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/7026
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/6362
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/6907
CCTV4,http://iptv.666230.xyz/iptv/bjyd.php/6455
CCTV5,http://iptv.666230.xyz/iptv/bjyd.php/6232
CCTV5,http://iptv.666230.xyz/iptv/bjyd.php/6348
CCTV5,http://iptv.666230.xyz/iptv/bjyd.php/6469
CCTV5,http://iptv.666230.xyz/iptv/bjyd.php/6945
CCTV5,http://iptv.666230.xyz/iptv/bjyd.php/6454
CCTV5+,http://iptv.666230.xyz/iptv/bjyd.php/6894
CCTV5+,http://iptv.666230.xyz/iptv/bjyd.php/6349
CCTV5+,http://iptv.666230.xyz/iptv/bjyd.php/6458
CCTV5+,http://iptv.666230.xyz/iptv/bjyd.php/6929
CCTV6,http://iptv.666230.xyz/iptv/bjyd.php/6468
CCTV6,http://iptv.666230.xyz/iptv/bjyd.php/6453
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/6234
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/6467
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/6946
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/7019
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/6906
CCTV7,http://iptv.666230.xyz/iptv/bjyd.php/6452
CCTV8,http://iptv.666230.xyz/iptv/bjyd.php/6485
