央视频道,#genre#
CCTV-1综合,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225655/1.m3u8
CCTV-1综合,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226032/1.m3u8
CCTV-1综合,https://stream1.freetv.fun/960192460e742af597efd712c6fee1c5baf1e90589d2166e6e3f0dd636132070.m3u8
CCTV-1综合,http://60.223.72.135:8005/rtp/226.0.2.153:9136
CCTV-1综合,http://60.223.72.135:8005/rtp/226.0.2.18:8056
CCTV-1综合,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1综合,http://[2409:8087:1a15:10d1::34]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV-1综合,https://stream1.freetv.fun/cctv1-66.ctv
CCTV-2财经,http://60.223.72.135:8005/rtp/226.0.2.19:8064
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8?
CCTV-2财经,http://60.223.72.135:8005/rtp/226.0.2.154:9144
CCTV-2财经,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-2财经,https://stream1.freetv.fun/56b3862915fdf5bcf640fee36fc169e6e6e9ca9a44663406cc3ec70d5f278145.m3u8
CCTV-2财经,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226217/1.m3u8
CCTV-2财经,https://stream1.freetv.fun/cctv2-51.m3u8
CCTV-2财经,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225652/1.m3u8
CCTV-3综艺,http://[2409:8087:1a15:10d1::36]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3综艺,http://60.223.72.135:8005/rtp/226.0.2.20:8072
CCTV-3综艺,http://60.223.72.135:8005/rtp/226.0.2.208:9576
CCTV-3综艺,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226235/1.m3u8
CCTV-3综艺,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225967/1.m3u8
CCTV-3综艺,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225885/1.m3u8
CCTV-3综艺,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-4中文国际,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4中文国际,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225958/1.m3u8
CCTV-4中文国际,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225694/1.m3u8
CCTV-4中文国际,http://60.223.72.135:8005/rtp/226.0.2.156:9160
CCTV-4中文国际,http://60.223.72.135:8005/rtp/226.0.2.21:8080
CCTV-5体育,http://[2409:8087:1a15:10d1::39]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5体育,http://60.223.72.135:8005/rtp/226.0.2.209:9584
CCTV-5体育,http://60.223.72.135:8005/rtp/226.0.2.22:8088
CCTV-5体育,https://stream1.freetv.fun/cctv5-71.ctv
CCTV-5体育,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5体育,https://stream1.freetv.fun/cctv5-6.m3u8
CCTV-5体育,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226047/1.m3u8
CCTV-5体育,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226088/1.m3u8
CCTV-5体育,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225970/1.m3u8
CCTV-5⁺体育赛事,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221226199/1.m3u8
CCTV-5⁺体育赛事,http://60.223.72.135:8005/rtp/226.0.2.168:9256
CCTV-5⁺体育赛事,https://stream1.freetv.fun/cctv-5-ti-yu-sai-shi-3.m3u8
